FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
229961|Old Bretz Mill|Populated Place|53497|U6|||06|CA|1|019|Fresno|37.0816142|-119.2987359|01/19/1981|
229969|Old Gilroy|Populated Place|53532|U6|||06|CA|1|085|Santa Clara|36.9996702|-121.5263287|01/19/1981|07/27/2015
229996|Oleander|Populated Place|53616|U6|||06|CA|1|019|Fresno|36.6343943|-119.7548622|01/19/1981|
230000|Olinda|Populated Place|53686|U6|||06|CA|1|089|Shasta|40.4437628|-122.4075078|01/19/1981|
230058|Ono|Populated Place|53882|U6|2545|062545089|06|CA|1|089|Shasta|40.4751501|-122.6180702|01/19/1981|
230085|Oregon House|Populated Place|54190|U6|2582|062582115|06|CA|1|115|Yuba|39.3562796|-121.2791273|01/19/1981|07/10/2017
230092|Orick|Populated Place|54218|U5|2585|062585023|06|CA|1|023|Humboldt|41.2867896|-124.0597937|01/19/1981|12/06/2013
230107|Orosi|Populated Place|54372|U5|2597|062597107|06|CA|1|107|Tulare|36.5449499|-119.2873384|01/19/1981|03/21/2008
230173|Owenyo|Populated Place|54600|U6|||06|CA|1|027|Inyo|36.6782657|-118.0442548|01/19/1981|
230275|Palo Cedro|Populated Place|55296|U5|2662|062662089|06|CA|1|089|Shasta|40.5637631|-122.2388916|01/19/1981|03/21/2008
230279|Palomar Park|Populated Place|55352|U6|||06|CA|1|081|San Mateo|37.4816043|-122.2644113|01/19/1981|
230388|Paskenta|Populated Place|56042|U5|2702|062702103|06|CA|1|103|Tehama|39.8845994|-122.5458323|01/19/1981|01/29/2011
230403|Patricks Point|Populated Place|56105|U6|||06|CA|1|023|Humboldt|41.123457|-124.1567375|01/19/1981|
230427|Paynes Creek|Populated Place|56196|U5|2709|062709103|06|CA|1|103|Tehama|40.335435|-121.9149899|01/19/1981|02/01/2016
230455|Pebble Beach|Populated Place|56322|U6|2715|062715053|06|CA|1|053|Monterey|36.5663496|-121.9466223|01/19/1981|
230491|Penngrove|Populated Place|56476|U5|2727|062727097|06|CA|1|097|Sonoma|38.2996376|-122.6666533|01/19/1981|08/10/2015
230492|Pennington|Populated Place|56504|U6|||06|CA|1|101|Sutter|39.2910002|-121.7933062|01/19/1981|07/10/2017
230499|Penryn|Populated Place|56546|U5|2728|062728061|06|CA|1|061|Placer|38.8521217|-121.1693926|01/19/1981|07/10/2017
230600|Phillipsville|Populated Place|56854|U5|2747|062747023|06|CA|1|023|Humboldt|40.2090317|-123.785866|01/19/1981|01/29/2011
230653|Pilibos Ranch|Locale|57040|U6|||06|CA|1|019|Fresno|36.6835618|-120.514337|01/19/1981|07/24/2009
230657|Pilot Hill|Populated Place|57050|U6|2756|062756017|06|CA|1|017|El Dorado|38.8349001|-121.0143878|01/19/1981|07/10/2017
230693|Pine Grove|Populated Place|57176|U6|||06|CA|1|045|Mendocino|39.3493389|-123.8141821|01/19/1981|
230732|Pinedale Siding|Locale|57106|U6|||06|CA|1|019|Fresno|36.8671719|-119.7329218|01/19/1981|
230747|Pinoleville Rancheria|Civil|2820R|D2|||06|CA|1|045|Mendocino|39.1801857|-123.217798|01/19/1981|02/01/2019
230751|Pioneer|Populated Place|57330|U5|2772|062772005|06|CA|1|005|Amador|38.4318551|-120.5718719|01/19/1981|07/10/2017
230798|Pleasant Grove|Populated Place|57750|U6|2828|062828101|06|CA|1|101|Sutter|38.8237881|-121.4838455|01/19/1981|07/10/2017
230940|Pope Valley|Populated Place|58170|U6|2874|062874055|06|CA|1|055|Napa|38.6151837|-122.427757|01/19/1981|
230948|Port Costa|Populated Place|58226|U5|2887|062887013|06|CA|1|013|Contra Costa|38.0463097|-122.1833005|01/19/1981|03/21/2008
230949|Port Kenyon|Populated Place|58324|U6|||06|CA|1|023|Humboldt|40.5951289|-124.2797788|01/19/1981|
231067|Proberta|Populated Place|58814|U5|2908|062908103|06|CA|1|103|Tehama|40.0815453|-122.1705478|01/19/1981|01/29/2011
231279|Ravendale|Populated Place|59696|U6|2937|062937035|06|CA|1|035|Lassen|40.7985091|-120.3652225|01/19/1981|06/27/2017
