TWAY_ID,TWAY_ID2,COUNTY,LATITUDE,LONGITUD,DATE,DAY_WEEK,HOUR,LGT_COND,WEATHER,WRK_ZONE,FATALS,PEDS,MAN_COLL,FUNC_SYS,TYP_INT
SR-107,SR-1719,MARIN,34.13940833,-79.78904444,2016-03-20,SUNDAY,7,DAY,CLEAR,0,1,0,HEAD ON,ARTERY,T
SR-485,NO SECOND STREET,MARIN,33.89334167,-79.85720278,2016-06-18,SATURDAY,7,DAY,CLEAR,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
US-176,NO SECOND STREET,SAN FRANCISCO,33.43582222,-80.60815833,2016-06-26,SUNDAY,2,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-6,CR-HI RIDGE RD,SAN FRANCISCO,33.39346667,-80.2738,2016-07-17,SUNDAY,2,NIGHT,RAIN,0,1,0,NOT APPLICABLE,ARTERY,T
SR-136,NO SECOND STREET,MARIN,34.05707778,-79.80285556,2016-07-18,MONDAY,16,DAY,CLEAR,0,1,0,HEAD ON,ARTERY,NOT AN INTERSECTION
US-76,NO SECOND STREET,SANTA CLARA,33.95656111,-80.38567778,2016-04-23,SATURDAY,19,DAY,CLEAR,0,1,0,ANGLED,ARTERY,NOT AN INTERSECTION
US-52,NO SECOND STREET,MARIN,34.15327778,-79.76887222,2016-07-21,THURSDAY,0,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-551,NO SECOND STREET,MARIN,34.13042778,-79.65137778,2016-07-23,SATURDAY,19,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-53,NO SECOND STREET,SANTA CLARA,33.96764444,-80.36261389,2016-07-24,SUNDAY,2,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
SR-202,NO SECOND STREET,SAN FRANCISCO,33.40145556,-80.48162778,2016-07-26,TUESDAY,22,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
SR-72,NO SECOND STREET,MARIN,33.94986111,-79.69533611,2016-08-01,MONDAY,4,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
I-26,NO SECOND STREET,SAN FRANCISCO,33.41830833,-80.67405278,2016-08-01,MONDAY,21,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
SR-353,NO SECOND STREET,SANTA CLARA,33.76665278,-80.40663056,2016-08-09,TUESDAY,1,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
CR-MCCRAYS MILL RD,NO SECOND STREET,SANTA CLARA,33.88335833,-80.45653611,2016-08-11,THURSDAY,17,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-82,NO SECOND STREET,SANTA CLARA,33.91626944,-80.32651667,2016-08-13,SATURDAY,18,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-4,SR-1855,SAN FRANCISCO,33.52281389,-81.08255556,2016-08-19,FRIDAY,3,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,FOUR WAY
SR-39,NO SECOND STREET,SAN MATEO,33.84843056,-81.60825,2016-08-19,FRIDAY,19,NIGHT,RAIN,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-12,NO SECOND STREET,MARIN,34.19008056,-79.76153611,2016-08-20,SATURDAY,1,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-301,SR-1606,SAN FRANCISCO,33.46310556,-80.93525278,2016-09-01,THURSDAY,7,DAY,CLEAR,0,1,0,ANGLED,ARTERY,T
SR-111,NO SECOND STREET,MARIN,33.81183056,-79.46767778,2016-09-03,SATURDAY,17,DAY,CLEAR,0,1,0,OPPOSITE SIDESWIPE,ARTERY,NOT AN INTERSECTION
SR-46,NO SECOND STREET,MARIN,34.08131944,-79.59780278,2016-09-06,TUESDAY,20,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
US-15,CR-BOWEN DRIVE,SANTA CLARA,33.85338889,-80.36846111,2016-09-08,THURSDAY,22,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,T
SR-24,SR-401,MARIN,34.20435,-79.75988056,2016-10-09,SUNDAY,10,DAY,CLEAR,0,1,0,HEAD ON,COLLECTOR,T
SR-261,NO SECOND STREET,SANTA CLARA,33.825,-80.51361111,2016-10-18,TUESDAY,14,DAY,CLEAR,0,1,0,HEAD ON,ARTERY,NOT AN INTERSECTION
I-95,NO SECOND STREET,SAN FRANCISCO,33.33071944,-80.54023889,2016-09-25,SUNDAY,9,DAY,CLEAR,0,1,0,SAME SIDESWIPE,INTERSTATE,NOT AN INTERSECTION
US-76,NO SECOND STREET,SANTA CLARA,33.95293889,-80.57488889,2016-10-22,SATURDAY,3,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
I-95,NO SECOND STREET,SANTA CLARA,33.91998889,-80.07883889,2016-10-22,SATURDAY,17,DAY,CLEAR,0,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
SR-56,NO SECOND STREET,MARIN,33.91243889,-79.76201944,2016-10-22,SATURDAY,13,DAY,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
SR-39,NO SECOND STREET,SAN FRANCISCO,33.36531944,-80.85466111,2016-10-29,SATURDAY,11,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-763,NO SECOND STREET,SANTA CLARA,33.89451111,-80.50268056,2016-10-30,SUNDAY,19,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-176,NO SECOND STREET,SAN FRANCISCO,33.29093889,-80.36685,2016-11-02,WEDNESDAY,17,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-601,SR-78,SAN FRANCISCO,33.47555556,-80.85255278,2016-11-04,FRIDAY,22,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,T
SR-107,CR-DARDEN DRIVE,MARIN,34.14854444,-79.84111389,2016-11-06,SUNDAY,20,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,T
SR-75,NO SECOND STREET,ALAMEDA,34.21858056,-82.33753056,2016-11-07,MONDAY,11,DAY,CLEAR,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
I-26,NO SECOND STREET,SAN FRANCISCO,33.31851111,-80.54765,2016-11-07,MONDAY,14,DAY,CLEAR,0,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
US-76,SR-53,MARIN,34.08524167,-80.02770833,2016-11-08,TUESDAY,18,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
SR-70,SR-1343,SAN FRANCISCO,33.42598889,-80.98943889,2016-11-12,SATURDAY,12,DAY,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
CR-LAQUINTA DRIVE,NO SECOND STREET,SAN FRANCISCO,33.47605833,-80.81450833,2016-11-18,FRIDAY,18,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-210,NO SECOND STREET,SAN FRANCISCO,33.33266111,-80.70856111,2016-11-23,WEDNESDAY,18,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-403,NO SECOND STREET,MARIN,33.94995,-79.85971944,2016-11-28,MONDAY,9,DAY,CLEAR,0,1,0,HEAD ON,ARTERY,NOT AN INTERSECTION
US-378,NO SECOND STREET,SANTA CLARA,33.89776944,-80.17075,2016-12-22,THURSDAY,8,DAY,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-57,NO SECOND STREET,MARIN,34.13806111,-79.73851944,2016-10-28,FRIDAY,18,NIGHT,CLEAR,0,1,0,HEAD ON,ARTERY,NOT AN INTERSECTION
US-76,SR-673,SANTA CLARA,33.96496111,-80.40676111,2016-11-25,FRIDAY,19,NIGHT,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
SR-51,SR-57,MARIN,34.14541944,-79.72823889,2016-11-27,SUNDAY,14,DAY,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
SR-24,NO SECOND STREET,MARIN,34.21416111,-79.7499,2016-12-07,WEDNESDAY,0,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
US-15,NO SECOND STREET,SANTA CLARA,33.91944167,-80.35936944,2016-12-18,SUNDAY,6,DAY,CLEAR,0,2,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-21,NO SECOND STREET,SAN FRANCISCO,33.60823056,-80.87558056,2016-10-28,FRIDAY,6,NIGHT,CLEAR,0,1,0,OPPOSITE SIDESWIPE,ARTERY,NOT AN INTERSECTION
CR-299TH AVE,NO SECOND STREET,SANTA CLARA,44.01428611,-100.18636389,2016-03-03,THURSDAY,14,DAY,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
CR-SPRING CREEK LANE,NO SECOND STREET,SAN MATEO,44.52375833,-103.84104722,2016-03-19,SATURDAY,4,NIGHT,SNOW,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
US-83,NO SECOND STREET,SAN FRANCISCO,43.74717778,-100.68298889,2016-03-30,WEDNESDAY,3,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
I-90 W,NO SECOND STREET,SANTA CLARA,43.84561944,-99.50161389,2016-04-04,MONDAY,18,DAY,CLEAR,0,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
CR-NEMO RD,NO SECOND STREET,SAN MATEO,44.26428056,-103.63575833,2016-05-01,SUNDAY,3,NIGHT,CLEAR,0,2,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
CR-BOX ELDER FORKS RD,NO SECOND STREET,SAN MATEO,44.19597778,-103.52221389,2016-06-18,SATURDAY,20,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
I-90 E,NO SECOND STREET,SAN MATEO,44.44701389,-103.59416667,2016-06-22,WEDNESDAY,19,DAY,CLEAR,0,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
